정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7111063300,02929,현풍읍사무소앞,Hyeonpung Town Office,대구광역시,달성군,현풍면,12826.873252,3541.810941,1,달성3
7111063400,02930,현풍읍사무소건너,Hyeonpung Town Office,대구광역시,달성군,현풍면,12826.871455,3541.804256,1,달성3
7111063500,02928,달성문화원앞,Dalseong Culture Center,대구광역시,달성군,현풍면,12827.029841,3541.892894,1,달성3
7111063600,02927,달성문화원건너,Dalseong Culture Center,대구광역시,달성군,현풍면,12827.023414,3541.911363,1,달성3
7111063700,02925,달성도서관입구,Dalseong Public Library,대구광역시,달성군,현풍면,12826.760809,3542.029754,1,달성3
7111063800,02926,달성도서관건너,Dalseong Public Library,대구광역시,달성군,현풍면,12826.762797,3542.035421,1,달성3
7111063900,02924,달성스포츠파크앞,Dalseong Sports Park,대구광역시,달성군,현풍면,12826.508107,3542.060866,1,달성3
7111064000,02923,달성스포츠파크건너,Dalseong Sports Park,대구광역시,달성군,현풍면,12826.514898,3542.069151,1,달성3
7111064100,02931,가태리마을회관앞,Gatae-ri Maeul Center,대구광역시,달성군,유가면,12828.3794,3538.9946,1,달성6
7111064200,02932,가태리마을회관건너,Gatae-ri Maeul Center,대구광역시,달성군,유가면,12828.369023,3538.98884,1,달성6
7111064300,02933,가태2리마을입구,Gatae 2-ri,대구광역시,달성군,유가면,12828.41639,3539.09377,1,달성6
7111064400,02937,학산아파트앞,Haksan Apts,대구광역시,달성군,현풍면,12826.9445,3541.4916,1,655
7111064500,02938,학산아파트건너,Haksan Apts,대구광역시,달성군,현풍면,12826.9844,3541.5685,1,655
7111064600,02780,대구경북과학기술원기숙사,DGIST,대구광역시,달성군,유가면,12827.6778,3542.1988,1,-
7111064700,02942,세하건너,Seha,대구광역시,달성군,유가면,12827.4783,3541.1687,1,달성5
7111064800,02779,한국생산기술연구원앞,Korea Institute of Industrial Technology,대구광역시,달성군,유가면,12828.2026,3541.4338,2,"600, 655"
7111064900,02939,한국생산기술연구원건너,Korea Institute of Industrial Technology,대구광역시,달성군,유가면,12828.187,3541.4754,3,"600, 655, 달성5"
7111065000,05276,국립대구과학관정문앞,Daegu National Science Museum,대구광역시,달성군,유가면,12827.9742,3541.1201,2,"655, 급행8"
7111065100,05275,국립대구과학관정문건너,Daegu National Science Museum,대구광역시,달성군,유가면,12827.9856,3541.1163,2,"655, 급행8"
7111065200,02759,IHL앞,IHL,대구광역시,달성군,유가면,12827.866,3540.9912,1,655
7111065300,02941,IHL건너,IHL,대구광역시,달성군,유가면,12827.8576,3540.9964,1,655
7111065400,02758,세하앞,Seha,대구광역시,달성군,유가면,12827.463798,3541.186901,1,달성5
7111065500,02936,대구경북과학기술원,DGIST,대구광역시,달성군,유가면,12827.5175,3542.2517,1,-
7111065600,02947,김흥1리앞,Gimheung 1-ri,대구광역시,달성군,옥포면,12829.612958,3545.240119,2,"600, 달성5"
7111065700,02948,김흥1리건너,Gimheung 1-ri,대구광역시,달성군,옥포면,12829.6222,3545.2316,2,"600, 달성5"
7111065800,02944,무등보건진료소앞,Mudeung Health Care Center,대구광역시,달성군,하빈면,12827.714,3555.4027,1,성서2
7111065900,02945,무등보건진료소건너,Mudeung Health Care Center,대구광역시,달성군,하빈면,12827.7187,3555.4219,1,성서2
7111066000,02969,정대2리마을회관건너,Jeongdae2-ri Maeul Center,대구광역시,달성군,가창면,12833.4177,3544.8744,1,가창2
7111066100,02970,정대2리(잿들마을)앞,Jeongdae2-ri(Jaedeul Maeul),대구광역시,달성군,가창면,12833.3376,3544.2904,1,가창2
7111066200,02971,정대2리(잿들마을)건너,Jeongdae2-ri(Jaedeul Maeul),대구광역시,달성군,가창면,12833.3281,3544.2776,1,가창2
7111066300,02972,정대2리(마내미골)종점,Jeongdae2-ri(Manaemigol),대구광역시,달성군,가창면,12833.0508,3543.9885,1,가창2
7111066400,02980,두천마을입구,Ducheon-maeul,대구광역시,달성군,하빈면,12827.6586,3556.0414,1,성서2
7111066500,02981,두천마을건너,Ducheon-maeul,대구광역시,달성군,하빈면,12827.6653,3556.0385,1,성서2
7111066600,02907,동곡치안센터앞,Donggok Police Operations Center,대구광역시,달성군,하빈면,12824.9909,3552.6548,1,성서2
7111066700,02982,초곡리입구건너,Chogok-ri,대구광역시,달성군,현풍면,12827.7063,3541.8126,1,655
7111066800,02983,초곡리입구앞,Chogok-ri,대구광역시,달성군,현풍면,12827.7157,3541.8221,1,655
7111066900,02985,대구보훈요양원,Daegu Veterans Yo Yangwon,대구광역시,달성군,하빈면,12824.4757,3553.4001,1,성서2
7111067000,02832,유가읍사무소앞,Yuga Town Office,대구광역시,달성군,현풍면,12827.5843,3541.6217,3,"급행4, 급행8, 달성5"
7111067100,02829,유가읍사무소건너,Yuga Town Office,대구광역시,달성군,현풍면,12827.5917,3541.6107,3,"급행4, 급행8, 달성5"
7111067200,02830,중뫼마을앞,Jung Meu maeul,대구광역시,달성군,유가면,12829.6845,3542.22,2,"600, 달성5"
7111067300,02831,중뫼마을건너,Jung Meu maeul,대구광역시,달성군,유가면,12829.679861,3542.203956,2,"600, 달성5"
7111067500,02827,용금공단앞,Yong Guem Industrial Complex,대구광역시,달성군,유가면,12827.8627,3540.8518,4,"600, 655, 급행8, 달성5"
7111067600,02828,용금공단건너,Yong Guem Industrial Complex,대구광역시,달성군,유가면,12827.864,3540.8636,4,"600, 655, 급행8, 달성5"
7111067700,02998,녹동서원건너,Nokdong-Seowon,대구광역시,달성군,가창면,12838.8035,3543.3744,1,가창2
7111067800,02843,대암2리,Daeam 2-ri,대구광역시,달성군,구지면,12823.5519,3537.0649,1,달성7
7111067900,02884,차천네거리1,Chacheon (4) Junction,대구광역시,달성군,유가면,12826.947772,3540.403663,1,급행8
7111068000,02885,차천네거리2,Chacheon (4) Junction,대구광역시,달성군,유가면,12826.959001,3540.394603,1,급행8
